ts,scan_id,direction,entry,base_sl,shadow_sl,base_tp,shadow_tp,base_risk,shadow_risk,base_reward,shadow_reward,base_rr,shadow_rr,sl_delta,tp_delta,sl_reason,tp_reason,support,resistance,diagnostic_only
2026-09-23T05:31:37.680316+00:00,20260923T053135.624264Z,LONG,86736.38,86569.20971428572,86527.41714285716,87014.99714285714,87014.99714285714,167.1702857142809,208.9628571428475,278.6171428571397,278.6171428571397,1.6666666666666667,1.3333333333333797,-41.79257142856659,0.0,SR_15m_NONE,ATR_BASE,"{""price"": 86465.94, ""touches"": 3, ""kind"": ""SUPPORT"", ""first_ts"": 1790085600, ""last_ts"": 1790132400, ""timeframe"": ""15m"", ""tf_weight"": 0.3, ""distance_atr"": 1.1742215606004394, ""event"": ""NONE"", ""strength"": 0.47}","{""price"": 86832.035, ""touches"": 2, ""kind"": ""RESISTANCE"", ""first_ts"": 1790125800, ""last_ts"": 1790133600, ""timeframe"": ""5m"", ""tf_weight"": 0.2, ""distance_atr"": 0.6866411665777815, ""event"": ""NONE"", ""strength"": 0.28}",True
2026-09-23T05:31:37.870752+00:00,20260923T053135.624264Z,SHORT,86736.38,86903.55028571429,86903.55028571429,86457.76285714286,86457.76285714286,167.1702857142809,167.1702857142809,278.6171428571397,278.6171428571397,1.6666666666666667,1.6666666666666956,0.0,0.0,ATR_BASE,ATR_BASE,"{""price"": 86832.035, ""touches"": 2, ""kind"": ""RESISTANCE"", ""first_ts"": 1790125800, ""last_ts"": 1790133600, ""timeframe"": ""5m"", ""tf_weight"": 0.2, ""distance_atr"": 0.6866411665777815, ""event"": ""NONE"", ""strength"": 0.28}","{""price"": 86465.94, ""touches"": 3, ""kind"": ""SUPPORT"", ""first_ts"": 1790085600, ""last_ts"": 1790132400, ""timeframe"": ""15m"", ""tf_weight"": 0.3, ""distance_atr"": 1.1742215606004394, ""event"": ""NONE"", ""strength"": 0.47}",True
2026-09-23T05:45:25.109201+00:00,20260923T054523.543871Z,LONG,86759.86,86629.17228571429,86629.17228571429,86977.67285714285,86977.67285714285,130.687714285712,130.687714285712,217.81285714285332,217.81285714285332,1.666666666666667,1.6666666666666667,0.0,0.0,ATR_BASE,ATR_BASE,"{""price"": 86697.91, ""touches"": 1, ""kind"": ""SUPPORT"", ""first_ts"": 1790141400, ""last_ts"": 1790141400, ""timeframe"": ""5m"", ""tf_weight"": 0.2, ""distance_atr"": 0.5688369439033233, ""event"": ""NONE"", ""strength"": 0.18000000000000002}","{""price"": 86832.035, ""touches"": 2, ""kind"": ""RESISTANCE"", ""first_ts"": 1790125800, ""last_ts"": 1790133600, ""timeframe"": ""5m"", ""tf_weight"": 0.2, ""distance_atr"": 0.6627248817792727, ""event"": ""NONE"", ""strength"": 0.28}",True
2026-09-23T05:45:25.216465+00:00,20260923T054523.543871Z,SHORT,86759.86,86890.54771428571,86890.54771428571,86542.04714285715,86542.04714285715,130.687714285712,130.687714285712,217.81285714285332,217.81285714285332,1.666666666666667,1.6666666666666667,0.0,0.0,ATR_BASE,ATR_BASE,"{""price"": 86832.035, ""touches"": 2, ""kind"": ""RESISTANCE"", ""first_ts"": 1790125800, ""last_ts"": 1790133600, ""timeframe"": ""5m"", ""tf_weight"": 0.2, ""distance_atr"": 0.6627248817792727, ""event"": ""NONE"", ""strength"": 0.28}","{""price"": 86697.91, ""touches"": 1, ""kind"": ""SUPPORT"", ""first_ts"": 1790141400, ""last_ts"": 1790141400, ""timeframe"": ""5m"", ""tf_weight"": 0.2, ""distance_atr"": 0.5688369439033233, ""event"": ""NONE"", ""strength"": 0.18000000000000002}",True
2026-09-23T05:56:13.915338+00:00,20260923T055612.794987Z,LONG,86490.72,86344.66457142857,86344.66457142857,86734.14571428571,86734.14571428571,146.05542857143155,146.05542857143155,243.42571428570955,243.42571428570955,1.6666666666666667,1.6666666666666003,0.0,0.0,ATR_BASE,ATR_BASE,"{""price"": 86465.94, ""touches"": 3, ""kind"": ""SUPPORT"", ""first_ts"": 1790085600, ""last_ts"": 1790132400, ""timeframe"": ""15m"", ""tf_weight"": 0.3, ""distance_atr"": 0.10430672647896776, ""event"": ""RETEST"", ""strength"": 0.57}","{""price"": 86565.465, ""touches"": 2, ""kind"": ""RESISTANCE"", ""first_ts"": 1790124000, ""last_ts"": 1790132400, ""timeframe"": ""5m"", ""tf_weight"": 0.2, ""distance_atr"": 0.6141093205318996, ""event"": ""RETEST"", ""strength"": 0.38}",True
2026-09-23T05:56:14.008960+00:00,20260923T055612.794987Z,SHORT,86490.72,86636.77542857143,86636.77542857143,86247.29428571429,86356.83585714285,146.05542857143155,146.05542857143155,243.42571428570955,133.8841428571468,1.6666666666666667,0.916666666666675,0.0,109.54157142856275,ATR_BASE,NEAR_15m_RETEST,"{""price"": 86565.465, ""touches"": 2, ""kind"": ""RESISTANCE"", ""first_ts"": 1790124000, ""last_ts"": 1790132400, ""timeframe"": ""5m"", ""tf_weight"": 0.2, ""distance_atr"": 0.6141093205318996, ""event"": ""RETEST"", ""strength"": 0.38}","{""price"": 86465.94, ""touches"": 3, ""kind"": ""SUPPORT"", ""first_ts"": 1790085600, ""last_ts"": 1790132400, ""timeframe"": ""15m"", ""tf_weight"": 0.3, ""distance_atr"": 0.10430672647896776, ""event"": ""RETEST"", ""strength"": 0.57}",True
2026-09-23T06:15:58.514310+00:00,20260923T061557.008198Z,LONG,86603.21,86470.01685714287,86470.01685714287,86825.19857142858,86825.19857142858,133.19314285714063,133.19314285714063,221.98857142857742,221.98857142857742,1.6666666666666667,1.6666666666667396,0.0,0.0,ATR_BASE,ATR_BASE,"{""price"": 86431.39333333333, ""touches"": 3, ""kind"": ""SUPPORT"", ""first_ts"": 1790085600, ""last_ts"": 1790142300, ""timeframe"": ""15m"", ""tf_weight"": 0.3, ""distance_atr"": 0.7182005921724368, ""event"": ""NONE"", ""strength"": 0.47}","{""price"": 86613.2, ""touches"": 3, ""kind"": ""RESISTANCE"", ""first_ts"": 1790124000, ""last_ts"": 1790136300, ""timeframe"": ""5m"", ""tf_weight"": 0.2, ""distance_atr"": 0.09000463344307928, ""event"": ""RETEST"", ""strength"": 0.48}",True
2026-09-23T06:15:58.623076+00:00,20260923T061557.008198Z,SHORT,86603.21,86736.40314285715,86736.40314285715,86381.22142857143,86381.22142857143,133.19314285714063,133.19314285714063,221.98857142857742,221.98857142857742,1.6666666666666667,1.6666666666667396,0.0,0.0,ATR_BASE,ATR_BASE,"{""price"": 86613.2, ""touches"": 3, ""kind"": ""RESISTANCE"", ""first_ts"": 1790124000, ""last_ts"": 1790136300, ""timeframe"": ""5m"", ""tf_weight"": 0.2, ""distance_atr"": 0.09000463344307928, ""event"": ""RETEST"", ""strength"": 0.48}","{""price"": 86431.39333333333, ""touches"": 3, ""kind"": ""SUPPORT"", ""first_ts"": 1790085600, ""last_ts"": 1790142300, ""timeframe"": ""15m"", ""tf_weight"": 0.3, ""distance_atr"": 0.7182005921724368, ""event"": ""NONE"", ""strength"": 0.47}",True
2026-09-23T06:38:12.540774+00:00,20260923T063809.872441Z,LONG,86525.16,86393.67000000001,86393.67000000001,86744.31,86744.31,131.4899999999907,131.4899999999907,219.14999999999418,219.14999999999418,1.666666666666667,1.6666666666667405,0.0,0.0,ATR_BASE,ATR_BASE,"{""price"": 86465.94, ""touches"": 3, ""kind"": ""SUPPORT"", ""first_ts"": 1790085600, ""last_ts"": 1790132400, ""timeframe"": ""15m"", ""tf_weight"": 0.3, ""distance_atr"": 0.23234137715540168, ""event"": ""RECLAIM"", ""strength"": 0.62}","{""price"": 86545.93, ""touches"": 1, ""kind"": ""RESISTANCE"", ""first_ts"": 1790132400, ""last_ts"": 1790132400, ""timeframe"": ""5m"", ""tf_weight"": 0.2, ""distance_atr"": 0.18955053616235343, ""event"": ""RETEST"", ""strength"": 0.28}",True
2026-09-23T06:38:12.728476+00:00,20260923T063809.872441Z,SHORT,86525.16,86656.65,86656.65,86306.01000000001,86404.6275,131.4899999999907,131.4899999999907,219.14999999999418,120.53250000000116,1.666666666666667,0.9166666666667405,0.0,98.61749999999302,ATR_BASE,NEAR_15m_RECLAIM,"{""price"": 86545.93, ""touches"": 1, ""kind"": ""RESISTANCE"", ""first_ts"": 1790132400, ""last_ts"": 1790132400, ""timeframe"": ""5m"", ""tf_weight"": 0.2, ""distance_atr"": 0.18955053616235343, ""event"": ""RETEST"", ""strength"": 0.28}","{""price"": 86465.94, ""touches"": 3, ""kind"": ""SUPPORT"", ""first_ts"": 1790085600, ""last_ts"": 1790132400, ""timeframe"": ""15m"", ""tf_weight"": 0.3, ""distance_atr"": 0.23234137715540168, ""event"": ""RECLAIM"", ""strength"": 0.62}",True
